AAB;Average At Best
ESA;European Space Agency
ESAD;Eat Shit And Die
ESADMF;Eat Shit And Die, Mother Fucker
ESC;Escape key
ESD;Electro-Static Discharge
ESE;friend
ESH;donkey
ESKI;Type of urban music
ESL;English as Second Language
ESP;Extra Sensory Perception
ET;Extra Terrestrial
ETA;Estimated Time of Arrival
ETD;Estimated Time of Departure
ETF;Escape the fate
EU;European Union
EUA;End User Agreement
EUC;Excellent Used Condition
EV;Expected Value
EVVK;Couldn't Care Less 
EWBA;Everything Will Be Alright
EWW;bah
EXP;Experience points
EXPO;exposition
EY;Hey
EYO;Hey you
EZ;Easy
E_E;exhausted
F;fuck
Fucking A;Fucking awesome
F-BOMB;fuck
F2F;Face To Face
F2T;Free To Talk
F5;Refresh
F8;Fate
F9;Fine
F@;Fat
FAAK;Falling Asleep At Keyboard
FAB;Fabulous
FABU;Fabulous
FAE;From
FAG;Cigarette
FAGET;gay person
FAGGOT;gay person
FAHQ;fuck you
FAI;Forget About It
FAK;fuck
FAM;Family
FANNYING;wasting time
FANTA;Fuck And Never Touch Again
FAO;For Attention Of
FAP;masturbate
FAQ;Frequently Asked Question
FAS;Funna Ass Shit
FASHO;For sure
FATS;Fuck all this shit
FAV;Favorite
FB;Facebook
FBB;FaceBook Bitch
FBC;FaceBook Chat
FBF;Facebook Friend
FBGM;Fuck Bitches, Get Money
FBM;Fine By Me
FBO;Facebook Official
FBS;Fucking Bullshit
FBSM;Full Body Sensual Massage
FBTW;Fine, Be That Way
FBW;Fly by wire
FCFS;First Come First Served
FCOL;For Crying Out Loud
FCS;For Christ's Sake
FCUK;Fuck
FDA;Food and Drug Administration
FDAU;Face Down, Ass Up
FDP;Son of a bitch
FDR;Franklin Delano Roosevelt
FDS;Fuck that shit
FE;Fair Enough
FEAT;Featuring
FECK;Fuck
FEDZ;Police
FEE;Female
FEEK;Kiss, fuck
FEENING;craving
FELLAS;Close friends
FELLER;fellow
FF;Final Fantasy
FF5;Family Force 5
FFA;Free For All
FFM;Two females and a male
FFS;For Fucks Sake
FFT;Fan Fucking Tastic
FFTL;From first to last
FGJ;For Great Justice
FGS;For God's Sake
FGT;Faggot
FH;Fucking Hell
FHE;First Hand Experience
FHL;Fuck His/Her Life
FHM;For Him Magazine
FI;Forget It
FIA;Fuck it all
FIC;Fanfiction
FICCL;Frankly, I Couldn't Care Less
FIDIOT;Fucking idiot
FIDO;Fuck It, Drive On
FIF;Fifth Amendment
FIFO;First In First Out
FIFY;Fixed It For You
FIGJAM;Fuck I'm Good, Just Ask Me
FIIK;Fuck if i know
FIL;Father-in-law
FILF;Father I'd Like to Fuck
FILO;First In, Last out
FIN;Finished
FINA;About to do
FINK;informer
FINNA;Going To
FIO;Figure It Out
FIRME;good
FISH;First In Still Here
FITB;Fill In The Blanks
FITCH;fucking bitch
FITE;Fight
FITFO;Figure It The Fuck out
FITH;Fucked in the head
FIV;Finger In Vagina
FJ;Foot Job
FK;French Kiss
FKA;Formerly Known As
FKU;Fuck You
FL;Fake Laugh
FLA;Florida
FLAFF;Foot Loose And Fancy Free
FLAGGED;Banned
FLAKE;Unreliable person
FLAKE OUT;Cancel at the last minute
FLAKY;Unreliable
FLANGE;Undesirable vagina
FLEX;Show off
FLING;Short-term sexual relationship
FLIR;Forward Looking Infra Red
FLK;Funny Looking Kid
FLOSS;Show off
FLOSSING;Showing off
FLOVE;fucking Love
FLS;Flu-Like Symptoms
FLUFF;fan fiction
FLYFF;Fly For Fun
FMA;Full Metal Alchemist
FMAO;Freezing My Ass Off
FMC;Fuck My Computer
FMCG;Fast Moving Consumer Goods
FMD;Fuck Me Dead
FMDIDGAD;Frankly My Dear , I Don't Give A Damn
FMFL;Fuck my fucking life
FMH;For Him Magazine
FMITA;Fuck me in the ass
FMJ;Full Metal Jacket
FML;Fuck my life
FMLA;Family and Medical Leave of Absence
FMLIA;Fuck, My Life Is Average
FMLL;Fuck my Love Life
FMN;Fuck me now
FMP;Fuck me pumps
FMS;Fuck me sideways
FMSL;Fuck my seks life
FMTKFYTFO;For Me To Know, For You To Find Out
FMV;Full Motion Video
FN;fucking
FNA;For Necessary Action
FNB;Football And Beer
FNE;Free And Easy
FNG;fucking new guy
FNX;Thanks
FO;fuck off
FO'SHIZZLE;For sure
FOA;First Of All
FOAD;fuck off and die
FOAF;Friend Of A Friend
FOB;Fresh Off the Boat
FOBR;Fall Out Boy Rock 
FOC;Free Of Charge
FOCL;Falling Off Chair Laughing
FOD;fuck off and die
FOF;Full of Fail
FOFF;fuck off
FOFL;Falling On Floor Laughing
FOFO;Fourty Four caliber gun
FOH;Fuck Outa Here
FOI;Freedom Of Information
FOIA;Freedom of Information Act
FOL;Fuck Our Lives
FOMCL;Falling Off My Chair Laughing
FOMO;Fear Of Missing Out
FON;Freak Of Nature
FOO;Fool
FOOD;Marijuana
FOOK;fuck
FOOPA;Fat in belly area
FOPS;fake cops
FOS;full of shit
FOSHO;For Sure
FOTC;Flight of the Conchords
FOTM;Flavor Of The Month
FOTR;fellowship of the ring
FOX;Sexy, attractive woman
FOYL;fuck off you loser
FPMSL;fucking Pissed Myself Lauging
FPS;First-Person Shooter
FQ;fuck you
FR;For Real
FRAG;Kill
FRAPE;Facebook Rape
FRAT;Fraternity
FREAK;Weirdo
FRESHIE;Imigrant
FRIED;High on drugs
FRIGGIN;fucking
FRILL;For Real
FRO;Afro hairstyle
FROOB;non-paying player
FSAS;Famous Stars and Straps
FSB;Front Side Bus
FSBM;Full Sensual Body Message
FSHO;For Sure
FSM;Female Seeking Male
FSR;For Some Reason
FSS;fucking super sweet
FSU;Friends Stand United
FTA;From The Article
FTASB;Faster Than A Speeding Bullet
FTB;fuck the bull shit
FTBOMH;From The Bottom Of My Heart
FTD;Fresh To Death
FTF;First To Find
FTFA;From The Fucking Article
FTFL;For The Fucking Lose
FTFO;fuck the fuck off
FTFW;For The Fucking Win
FTFY;fixed that for you
FTLOG;For The Love Of God
FTM;Female To Male
FTMFW;For The Mother Fucking Win
FTR;For The Record
FTS;fuck this shit
FTSK;Forever The Sickest Kids 
FTTB;For The Time Being
FTUW;For The Ultimate Win
FU;fuck you
FU2;fuck you too
FUAH;fuck you ass hole
FUB;Fat Ugly Bastard
FUBAR;Fouled Up Beyond All Recognition
FUBB;Fouled Up Beyond Belief
FUBR;fucked Up Beyond Recognition
FUG;fucking ugly
FUGLY;fucking ugly
FUI;fucked Up Individual
FUK;fucking ugly
FUMF;fuck you mother fucker
FUMTU;fucked Up More Than Usual
FUPA;Fat Upper Pubic Area
FUTAB;Feet Up, Take A Break
FUX;fuck
FUZZ;Police
FW;Forward
FWB;Friends With Benefits
FWD;forward
FWIW;For What It's Worth
FWM;fuck with me
FWP;Friend With Privileges
FWTD;Fate Worse Than Death
FX;Effects
FY;fuck you
FYA;For Your Amusement
FYAD;fuck You And Die
FYB;fuck you, bitch
FYE;For Your Entertainment
FYEO;For Your Eyes Only
FYF;fuck your face
FYFI;For Your fucking Information
FYI;For Your Information
FYL;fuck Your Life
FYM;Free Your Mind
FYN;Fine
FYP;Fixed Your Post
FYYFF;fuck You, You Fucking Fuck
G;Grin
G'DAY;good day
G2B;Go To Bed
G2E;Got To Eat
G2F;Got To Fly
G2G;Got to go
G2G2B;Got To Go To Bed
G2H;Go To Hell
G2P;Got To Pee
G2R;Got To Run
G2S;Go To Sleep
G4U;Good For You
G8;Great
G9;Good Night
GA;Go Ahead
GAFF;House
GAFIA;Get Away From It All
GAFL;get a fucking life
GAFM;Get Away From Me
GAFMO;get a fucking move on
GAJ;Get A Job
GALDEM;Group of girls
GAM;Gay Asian Male
GAMMD;Go Ahead Make My Day
GANJA;marijuana
GAP;Gay And Proud
GASSING;Talking
GAT;Gun
GAWD;God
GAWJUS;Gorgeous
GAWJUSS;Gorgeous
GBF;Gay Best Friend
GBFF;Gay Best Friend Forever
GBFN;Goodbye for Now
GBH;Grievous Bodily Harm
GBM;Gay Black Male
GBML;Good Bye My Love
GBNF;Gone But Not Forgotten
GBR;Gotta Bitch Rolling
GBS;Gay Butt Sex
GBTW;Get Back To Work
GBU;God Bless You
GBY;God Bless You
GC;Good Contition
GCF;Good Clean Fun
GD;Gangsta Disciple
GDAY;Good Day
GDGD;Good Good
GDI;God Damn It
GE;Good Evening
GEESH;Gee, Shit Happens
GEEZ;Jesus
GEEZER;guy
GEN;Information
GEWD;Good
GF;Girlfriend
GFA;Grenade Free America
GFAC;go fuck a cow
GFAK;Go Fly A Kite
GFC;Global Financial Crisis
GFD;god fucking damn it
GFDI;god fucking damn it
GFE;Girl Friend Experience
GFETE;Grinning From Ear To Ear
GFF;Grenade Free Foundation
GFG;Good fucking game
GFGI;Go Fucking Google It
GFI;Go For It
GFL;Good fucking luck
GFN;Gone For Now
GFU;Good For You
GFUS;Go Fuck Yourself
GFY;Good For You
GFYM;Go Fuck Your Mother
GFYS;Go Fuck Yourself
GG;Good Game
GGA;Good Game All
GGBB;Good Game Bye Bye
GGG;Good, Giving, and Game (in bed)
GGL;Giggle
GGN;Gotta Go Now
GGNORE;Good Game No Rematch
GGOH;Gotta Get Outta Here
GGP;Gotta Go Pee
GGS;Good Games
GGW;Girls Gone Wild
GH;Guitar Hero
GHD;Good Hair Day
GIB;Good In Bed
GIEF;Give
GIGO;Garbage In, Garbage Out
GILF;Grandmother I'd Like to Fuck
GIMF;Google It Mother Fucker
GIMME;Give me
GIMP;Stupid person
GIT;Idiot
GIWIST;Gee, I Wish I'd Said That.
GIYF;Google Is Your Friend
GIZZ;semen
GJ;Good Job
GJOAC;Go Jump Off A Cliff
GK;Good Kid
GKY;Go Kill Yourself
GL HF;Good Luck, Have Fun
GLA;Good Luck All
GLBT;Gay Lesbian Bisexual Transsexual
GLD;Good Life Decision
GLEAK;Spit
GLEEK;A fan of the TV show Glee
GLF;Group Looking For
GLHF;Good luck, have fun. Used in CS matches
GLOMP;Hug very hard
GLOTR;Good Luck On The Rebuild
GLTA;Good Luck to All
GLTY;Good Luck To You
GLUCK;Good Luck
GLWS;Good Luck With Sale
GLWT;Good Luck With That
GMA;Good Morning, America
GMAB;Give Me A Break
GMAFB;Give Me A Fucking Break
GMAIL;Google web email service
GMAO;Giggling My Ass Off
GMFB;Get Money, Fuck Bitches
GMH;Gives Me Hope
GMOD;Garry's Mod
GMTA;Great Minds Think Alike
GMV;Got My Vote
GMY;Good Man Yourself
GN;Good Night
GNARLY;Extreme
GND;Girl Next Door
GNE;Good Night and Everything
GNFB;Good Night Facebook
GNITE;Good Night
GNK;Glitch No Kill 
GNOC;Get Naked On Cam
GNR;Guns 'N Roses
GNSTDLTBBB;Good Night Sleep Tight Don't Let the Bed Bugs Bite
GOB;Mouth
GOBLIN;Gangster
GOG;Person from north Wales
GOI;Get Over It
GOKIL;crazy
GOL;Giggle Out Loud
GOM;idiot
GOMEN;Sorry
GOMES;To shit oneself by accident
GOML;Get On My Level
GONNA;Going to
GOOG;Ecstasy pill
GOOH;Get Out Of Here
GORG;Gorgeous
GOSU;Skillful person
GOTCHA;I understand
GOTTA;Got to 
GOTY;Game Of The Year
GOU;Good On You
GOW;Gears of war
GP;General Principle
GPA;Grade-Point Average
GPL;General Public License
GPOY;Gratuitous Picture Of Yourself
GPOYW;Gratuitous Picture Of Yourself Wednesday
GPRS;General Packet Radio Services
GR;Gotta Run
GR&D;Grinning, Running & Ducking
GR8;Great
GRATZ;Congratulations
GRK;Greek
GRL;Girl
GRODY;Disgusting, nasty, gross
GRONK;Idiot
GROOL;Great and Cool
GROSS;disgusting
GROUSE;Great
GRRL;Girl
GRUB;Food
GS;Golden Shower
GSAD;Go Suck A Dick
GSOH;Good Sense Of Humor
GSTQ;God Save The Queen
GTA;Grand Theft Auto
GTBOSH;Glad To Be Of Some Help
GTF;Get The Fuck
GTFA;Get The Fuck Away
GTFAFM;Get The Fuck Away From Me
GTFB;Get The Fuck Back
GTFH;Go To Fucking Hell
GTFO;Get The Fuck Out
GTFOH;Get The Fuck Out of Here
GTFOI;Get The Fuck Over It
GTFOM;fart
GTFOOH;Get The Fuck Out Of Here
GTFU;Grow The Fuck Up
GTG;Got To Go
GTGP;Got To Go Pee
GTH;Go To Hell
GTHBA;Good Times Had By All
GTHO;Get The Hell Out
GTK;Good To Know
GTL;Gym, Tan, Laundry
GTM;Giggling To Myself
GTO;Gran Turismo Omologato
GTOG;Got To Go
GTP;Got To Pee
GTR;Getting Ready
GTRM;Going To Read Mail
GTS;Good Times
GTSY;Good To See You
GTTS;Got The T-Shirt
GTW;Got To Work
GUAP;Money
GUD;Good
GUFN;Grounded Until Further Notice
GUUD;Good
GV;Good Vibes
GW;Good Work
GWAAN;Go on
GWAP;Money
GWAS;Game Was A Success
GWC;Guy With Camera
GWG;Girl With Glasses
GWI;Get With It
GWM;Gay White Male
GWOP;Money
GWP;Gift With Purchase
GWR;Guinness World Records
GWS;Get Well Soon
GWTF;Go With The Flow
GYAL;Girl
GYHOOYA;Get Your Head Out Of Your Ass
GYO;Get Your Own
GYT;Get Yourself Tested
GZ;Congratulations
H;Hug
H&K;Hugs and Kisses
H/O;Hold On
H/T;Hat Tip
H/U;Hook Up, make out
H2CUS;Hope To See You Soon
H2G;Had to Go
H2IK;Hell If I Know
H3;Halo 3
H4X;hacks
H4X0R;Hacker
H8;Hate
H8R;Hater
H9;Really hate
HABIBI;My darling
HAFL;Heart Attack From Laughing
HAFTA;Have To
HAG;Unattractive old woman
HAGD;Have A Good Day
HAGE;Have A Good Evening
HAGL;Have A Good Life
HAGN;Have A Good Night
HAGO;Have A Good One
HAGS;Have a great summer
HAGT;Have A Great Time
HAI;Hey
HAISTK;How Am I Supposed To Know?
HAIZ;Sigh
HAK;Hugs And Kisses
HAKAS;Have A Kick Ass Summer
HALP;Help
HANG;Hang out
HAPA;Mixed race
HARF;vomit
HASIAN;Hot Asian
HATERZ;Enemies
HAWTSOME;Hot and awesome
HAXOR;Hacker
HAXX0R;Hacker
HAXXOR;Hacker
HAY;How Are You
HAYD;How Are You Doing?
HB;Hug Back
HB;Hurry Back
HBD;Happy Birthday
HBIC;Head Bitch In Charge
HBN;How About Now
HBO;Home Box Office
HBP;Half-Blood Prince 
HBT;How 'Bout That
HBTU;Happy Birthday To You
HBTY;Happy Birthday to You
HBU;How About You?
HBY;How 'Bout You
HC;Holy Cow
HCDAJFU;He Could Do A Job For Us
HCIT;How Cool Is That?
HCO;Hollister
HDF;Shut up
HDL;I love you
HDU;How Dare You
HDY;How Dare You
HDYK;How Did you know?
HEA;Happily Ever After
HELLA;very
HENTAI;Anime porn
HF;Have Fun
HFFA;Hot From Far Away
HFN;Hell, Fuck No
HFS;Holy Fucking Shit
HG;Holy Grail
HGB;Hellogoodbye 
HGH;Haters Gonna Hate
HH;Holding Hands
HHOJ;Ha Ha, Only Joking
HHOK;Ha Ha, Only Kidding
HHVF;Ha-ha, Very Funny
HHWW;Holding Hands While Walking
HICKEY;Love bite
HIMYM;How I Met Your Mother
HINKEY;Strange
HIWTH;Hate It When That Happens
HIYA;Hello
HJ;Hand Job
HKS;Hot Kinky Sex
HL;Half-Life
HLAS;Hook, Line And Sinker
HMB;Hit Me Back
HMFIC;Head Mother Fucker In Charge
HMIHY;How May I Help You?
HML;Hate My Life
HMP;Help Me, Please
HMTRUD;how many thing r u doing?
HMU;Hit Me Up
HMUL;Hit Me Up Later
HMWK;Homework
HNG;Horny Net Geek
HNK;Hugs and Kisses
HNOS;Home Network Operating System
HNR;Hit 'N' Run
HNY;Happy New Year
HOAS;Hold On A Second
HOBO;Itinerant worker
HOE;whore
HOLLER;Shout
HOLS;Holidays
HOMEBOY;Closest friend
HOMEDOG;Closest friend
HOMESLICE;Closest friend
HOMEY;Closest friend
HOMIE;Closest friend
HON;Honey
HONKIE;White person
HOOD;Neighborhood
HOOROO;Goodbye
HOR;Whore
HORNEY;Turned on
HORNY;Turned on
HOS;Husband Over Shoulder
HOTTIE;Attractive person
HOVA;Jehovah
HOWDY;How Do You Do?
HP;Harry Potter
HR;Human Resources
HRU;How Are You?
HS;Headshot
HSIK;How Should I Know?
HSIT;How Sad Is That
HSMF;Holy Shit Mother Fucker
HSP;Highly Sensitive Person
HTB;Hate The Bitch!
HTC;Hit The Cell
HTFDIK;How The Fuck Do I Know?
HTFU;Hurry the fuck up
HTHFYS;Hope To Hear From You Soon
HTM;Hand To Mouth
HTSYS;Hope To See You Soon
HU;Hollywood Undead 
HUA;Heard Understood Acknowledged
HUBBY;Husband
HUCKLEBERRY;The man you're looking for
HUFF;Low grade weed
HUGGLE;Hug and snuggle
HUMP;Have sex with
HUN;Honey
HUNDO;Hundred
HUNNED ;Hundred
HUTA;Head Up The Ass
HVAC;Heating, Ventilating, Air Conditioning
HW;Homework
HWB;Hottie With Body
HWDP;Fuck the Police
HWGA;Here We Go Again
HWK;Homework
HWP;Height Weight Proportional
HWSNBN;He Who Shall Not Be Named
HWU;Hey, What's Up?
HWYD;How Was Your Day?
HXC;Hardcore
HXE;Hardcore
HYB;How You Been?
HYD;How Ya Doing?
HYFB;Hope You Feel Better
HYNA;Good looking girl
HYP;Harvard, Yale, Princeton
HYPH;Hyperactive
HYS;Have Your Say
HYU;Hit You Up
I<3U;I Love You
I'MA;I am going to
I/O;Input/Output
I8;Alright
IA;I Agree
IAB;I Am Bored
IABW;In A Bad Way
IAC;In Any Case
IAE;In Any Event
IAG;It's All Good
IAMA;I Am Mildly Amused
IANAD;I Am Not A Doctor
IAS;In A Second
IAWTP;I Agree With This Post
IB;I'm Back
IB2D;I Beg To Differ
IBB;I'll Be Back
IBTC;Itty Bitty Titty Committee
IBTD;I Beg To Differ
IBTL;In Before the Lock
IBYP;I Beg Your Pardon
IC;I See
ICAM;I couldn't agree more
ICAY;I Care About You
ICB;I Can't Believe
ICBB;I can't be bothered
ICBI;I Can't Believe It
ICBINB;I Can't Belive It's Not Butter
ICBSST;I can't believe she said that
ICCL;I Couldn't Care Less
ICP;Insane Clown Posse
ICR;I Can't Remember
ICSL;I Can't Stop Laughing
ICWUDT;I See What You Did There
ICYDK;In Case You Didn't Know
ICYMI;In Case You Missed It
ID;Identity
IDB ;In Da Butt
IDBI;I Don't Believe It
IDC;I Dont Care
IDD;Indeed
IDDQD;Cheat code for Doom
IDEK;I Don't Even Know
IDFC;I Don't Fucking Care
IDFGAS;I Don't Fucking Give A Shit
IDFK;I Don't Fucking Know
IDFLI;I Don't Feel Like It
IDGAC;I Don't Give A Crap
IDGAD;I Don't Give A Damn.
IDGAF;I Don't Give A Fuck
IDGAFF;I Don't Give A Flying Fuck
IDGARA;I Don't Give A Rat's Ass
IDGAS;I Don't Give A Shit
IDGI;I Don't Get It
IDH;I'd Do Her/Him
IDHAC;I Don't Have A Clue
IDI;I Doubt It
IDK;I Don't Know
IDKE;I Don't Know Either
IDKW;I Don't Know Why
IDKY;I Don't Know Why
IDLE;Inactive
IDLI;I Don't Like It
IDLY;I Don't Love/Like You
IDM;It Doesn't Matter
IDN;I Don't kNow
IDR;I Don't Remember
IDRC;I Don't Really Care
IDRGAF;I Don't Really Give A Fuck
IDRK;I Don't Really Know
IDST;If Destroyed, Still True
IDT;I Don't Think
IDTS;I Don't Think So
IDU;I Don't Understand
IDUNNO;I Don't Know
IDW;I Don't Want
IDWTAI;I Don't Wanna Talk About It
IFHML;I Fucking Hate My Life
IFHY;I Fucking Hate You
IFLU;I Fucking Love You
IFLY;I Fucking Love You
IG;Ignorant
IGG;I gotta go
IGGY;Ignore
IGHT;Alright
IGI;I Get It
IGM;I Got Mine
IGMC;I'll Get My Coat
IGN;In Game Name
IGNB;I'm Going Now, Bye
IGNTS;I've Got Nothing To Say
IGS;I Guess So
IGTG;I got to go
IGU;I Give Up
IH8U;I Hate You
IHM;i hate mondays
IHML;I Hate My Life
IHNC;I have no clue
IHNFC;I Have No Fucking Clue
IHNI;I Have No Idea
IHS;I Hope So
IHT;I Hate This
IHU;I Hate You
IHY;I Hate You
IHYSM;I Hate You So Much
IIGHT;Alright
IIH;If I'm Honest
IIL;I'm In Love
IINM;If I'm Not Mistaken
IIR;Idiot in room
IIRC;If I Remember Correctly
IITUWUTMAS;If I Tell You Will You Tell Me A Secret?
IITYWIMIWHTKY;If I Tell You What It Means I Will Have to Kill You
IITYWTMWYBMAD;If I Tell You What This Means Will You Buy Me a Drink?
IITYWTMWYKM;If I Tell You What This Means Will You Kiss Me?
IIWII;It Is What It Is
IJ;I'm Joking
IJAF;It's Just A Fact
IJDGAF;I Just Don't Give A Fuck
IJDK;I Just Don't Know
IJS;I'm Just Saying
IJWTK;I Just Want To Know
IK;I Know
IKHYF;I Know How You Feel
IKLY;I Kinda Like You
IKMTY;I Know More Than You
IKR;I Know, Right
IKT;I Knew That
IKTR;I Know That's Right
IKWUM;I Know What You Mean
IKWYDLS;I know what you did last summer
IKWYL;I know where you live
IKWYM;I Know What You Mean
IKY;I Know You
IKYP;I'll Keep You Posted
IM;I am
IL;In Love
ILD;I Love you
ILI;I Love It
ILLEST;Best
ILML;I Love My Life
ILMO;In Loving Memory Of
ILU;I Love You
ILU2;I love you too
ILUSFM;I Love You So Fucking Much
ILUSM;I love you so much
ILUT;I Love You Too
ILY;I Love You
ILY2;I Love You Too
ILYA;I Love You All
ILYAAF;I Love You As A Friend
ILYAM;I Love You As a Mate
ILYB;I Love You Both
ILYF;I'll Love You Forever
ILYK;I'll Let You Know
ILYL;I love you lots
ILYLAS;I Love You Like A Sister
ILYLT;I Love You Long Time
ILYM;I Love You More
ILYSDM;I Love You So Damn Much
ILYSFM;I Love You So Fucking Much
ILYSM;I Love You So Much
ILYSMB;I Love You So Much Baby
ILYSMM;I Love You So Much More
ILYT;I Love You Too
ILYVM;I Love You Very Much
ILYWAMH;I Love You With All My Heart
IMA;I am going to
IMAHO;In My Absolutely Honest Opinion
IMAO;In My Arrogant Opinion
IMAP;Internet Message Access Protocol
IMB;I'm Bored
IMBA;Imbalanced
IMBO;in My Biased Opinion
IMCO;In My Considered Opinion
IMDB;Internet Movie Database
IME;In My Experience
IMEO;In My Educated Opinion
IMF;International Monetary Fund
IMFAO;In My Fucking Arrogant Opinion
IMFO;In My Fucking Opinion
IMH;In My Head
IMHO;In My Humble Opinion
IMING;Instant Messaging
IMK;In My Knowledge
IMMA;I'm Going To
IMMAO;In My Most Arrogant Opinion
IMMD;It Made My Day
IMNSHO;In My Not So Humble Opinion
IMO;In My Opinion
IMOO;In My Own Opinion
IMPO;In My Personal Opinion
IMR;I Mean, Really
IMS;Irritable Male Syndrome
IMU;I Miss You
IMUSM;I Miss You So Much
IMVU;Instant Messaging Virtual Universe
IMWTK;Inquiring minds want to know
IMY;I Miss You
IMYA;I miss You Already
IMYSFM;I Miss You So Fucking Much
IMYSM;I Miss You So Much
IMYT;I Miss You Too
INB;I'm Not Bothered
INBD;It's no big deal
INC;Incoming
INDY;Independent
INFO;Information
INIT;Isn't it?
INKED;Tattooed
INNIT;Isn't It
INO;I Know
INORITE;I Know, Right?
INPO;In No Particular Order
INRS;It's Not Rocket Science
INSIDER;Inside joke
INT;Isn't it
INVU;I envy you
INWLY;I Never Wanna Lose You
INY;I Need You
IOAB;I'm On A Boat
IOH;I'm Outta Here
IOKIYAR;It's Okay If You're A Republican
IOM;Isle Of Man
IOMW;I'm On My Way
ION;In Other News
IONO;I don't know
IOU;I Owe You
IOW;In Other Words
IOYK;If Only You Knew
IPO;Initial Public Offering
IRAH;Insert Relevant Acronym Here
IRDC;I Really Don't Care
IRDGAF;I Really Don't Give A Fuck
IRDK;I Really Don't Know
IRIE;Feeling good, alright
IRL;In Real Life
IRLY;I Really Like You
IRMC ;I Rest My Case
ISB;I'm So Bored
ISLY;I Still Love You
ISO;In Search Of
ISTG;I Swear To God
ISTM;It Seems To Me
ISTR;I Seem To Recall
ISWYDT;I See What You Did There
ISWYM;I See What You Mean
ITA;I Totally Agree
ITILU;I Think I Love You
ITILY;I Think I Love You
ITK;In The Know
ITMA;It's That Man Again
ITN;I Think Not
ITOY;I'm Thinking Of You
ITP;Inside The Perimeter
ITT;In This Thread
ITTET;In These Tough Economic Times
ITYF;I Think You'll Find
ITYL;I'll Tell You Later
ITYM;I Think You Mean
ITYS;I Told You So
IWALY;I Will Always Love You
IWFU;I Wanna Fuck You
IWHI;I Would Hit It
IWIK;I Wish I Knew
IWM;It Wasn't Me
IWSN;I Want Sex Now
IWTD;I Want To Die
IYA;Hello
IYAM;If You Ask Me
IYBTYBA;If You Believe That You'll Believe Anything
IYD;In Your Dreams
IYDK;If You Didn't Know
IYDM;If You Don't Mind
IYF;In Your Face
IYH;In Your Head
IYKWIM;If You Know What I Mean
IYL;If You're Lucky
IYO;In Your Opinion
IYQ;I Like You
IYSS;If You Say So
IYSWIM;If You See What I Mean
IYT;All right
IYTE;All right
IYTT;If You Think That
IYW;If you will
J;Joking
J/K;Just Kidding
J/O;Jack off
J2LUK;Just To Let You Know
J4L;Just for Laughs
JABRONI;Loser
JAFO;Just Another Fucking Observer
JAILBAIT;Underage girl
JAILBREAK;Crack an iPhone
JAJA;Spanish laugh
JAM;Just A Minute.
JAMBO;Hello (Swahili)
JAMF;Jive Ass MF
JAND;England
JANK;Worthless
JAP;Person from Japan
JARRIN;Annoying
JAS;Just A Second
JAT;Just A Thought
JATQ;Just Answer The Question
JAV;Japanese Adult Video
JAWN;Thing
JB;Jonas Brothers
JBF;Just Been Fucked
JBH;Just Being Honest
JBY;Just Be Yourself
JC;Jesus Christ
JDI;Just Do It
JDM;Japanese Domestic Market
JEAL;Jealous
JEEZ;Jezus
JEJE;lol
JEJEMON;People who type stupidly
JELLY;Jealous
JEWFRO;Curly Jewish hair style
JFC;Jesus Fucking Christ
JFDI;Just Fucking Do It
JFF;Just For Fun
JFGI;Just Fucking Google It
JFK;John Fitzgerald Kennedy
JFN;Just For Now
JFTR;Just For The Record
JFWY;Just Fucking With You
JFYI;Just For Your Information
JGH;Just Got Home
JGI;just google it
JGL;Just Get Lost
JHC;Jesus H Christ
JHEEZE;same as OMG, wow
JIC;Just In Case
JICYDK;Just In Case You Didn't Know
JIFF;Cocaine
JIFFY;Short period of time
JIMMY;Penis
JIT;Just In Time
JIZ;Semen
JIZZ;Semen
JJ;Just Joking
JJJ;Australian radio station
JK;Just Kidding
JKL;Just Kidding Loser
JKN;Joking
JKS;Jokes
JKZ;Jokes
JLS;Jack the Lad Swing
JLT;Just like that
JLY;Jesus Loves You
JLYK;Just Letting You Know
JM;Just Messing
JMA;Just Messing Around
JMHO;Just My Humble Opinion
JML;Just My Luck
JMO;Just My Opinion
JMS;Just Making Sure
JMT;Just My Thoughts
JN;Just Now
JOBBIE;Shit
JODER;Have sex
JOM;Jack Off Material
JONESING;Craving
JOOC;Just Out Of Curiosity
JORTS;Jean shorts
JP;Just Playing
JPA;Just Playing Around
JROTC;Junior Reserve Officer Training Corps
JS;Just Saying
JSMP;Just Shit My Pants
JSU;Just Shut Up
JSUK;Just So You Know
JSYK;Just So You Know
JTB;Just Too Bad
JTC;Join The Club
JTFO;Joked The Fuck Out
JTLYK;Just To let You Know
JTM;Je t'aime
JTTY;Just To Tell You
JUAD;Jumping Up And Down
JUGGALO;Fan of Insane Clown Posse
JUGS;Breasts
JUZ;Just
JV;Junior Varsity, amateur
JW;Just Wondering
JWAS;Just Wait And See
JWD;Job Well Done
JWG;Just a Wild Guess
JWTK;Just Wanted To Know
JWTLYK;just wanted to let you know
JWW;Just Was Wondering
JYEAH;Cool version of Yeah
K;OK
K33L;Kill
K3U;I Love You
K9;Doggy style
KAFM;Keep Away From Me
KAM;Gorgeous
KAN;Vagina
KATS;Kick Ass This Summer
KAWAII;Cute
KAY;Okay
KBPS;KiloBytes per second
KCUF;fuck
KD;Kraft Dinner
KEED;joke
KEEK;Crap
KEEL;Kill
